"id","subc_id","elev_min","elev_max","elev_mean","elev_sd","flowpos_min","flowpos_max","flowpos_mean","flowpos_sd","strahler","length","cum_length","out_dist","spi_min","spi_max","spi_mean","spi_sd","sti_min","sti_max","sti_mean","sti_sd","cti_min","cti_max","cti_mean","cti_sd"
4058582701,508665800,300.7,307.4,302.2917,1.8346,0.0105,168.8929,51.926,74.2942,6,227.238,27911.97,735229.44,0,3699,1053.4167,1493.097,5,414,113.8333,142.286,-79189856,922576700,305965280,420042720
4058564858,508293490,39.1,53.5,46.6964,4.5046,0.0054,37.6155,6.7018,14.2391,4,342.2587,17523.617,264303.88,0,1360,187.9286,406.4011,1,351,60.1429,88.0571,-215126780,748983300,57171280,324673700
4058539759,506627827,9.4,13.9,11.2938,1.0192,0.0051,0.6913,0.1669,0.2769,2,653.446,1918.9734,102266.61,0,21,3,5.5057,0,51,7,9.8266,-177489870,397941220,14296119,203597710
4058504641,508438640,313.5,401.5,359.7889,22.0274,0.009,0.1117,0.0276,0.0215,1,175.2252,175.2252,530274.7,1,13,5.5556,3.7941,87,467,247.037,107.1442,-320154560,-271304,-218519520,72960184
4058631786,506301107,0.8,2.6,1.4512,0.4277,0.005,232.8291,5.4744,35.0819,1,361.7114,361.7114,46802.168,0,2888,67.814,435.1671,0,33,2,4.9179,-117385440,983988500,32904488,203889470
4058555110,508150849,94.9,97.7,96.2741,0.7058,0.0054,0.1049,0.0224,0.0289,1,167.3376,167.3376,577457.7,0,2,0.2593,0.5159,0,12,2.1852,2.1949,-130569150,194940110,-27434642,108545856
4058556692,506406239,8.8,22.2,11.5786,3.3501,0.0051,0.0836,0.0363,0.0288,1,379.1107,379.1107,71961.555,0,3,1.1429,0.9897,1,79,23.9286,25.2854,-257510450,149620240,-30660984,131938000
4058538795,506440890,15,18.1,15.8792,0.7676,0.0051,11.8236,2.9435,5.081,4,328.5233,6934.422,78278.26,0,163,37.0833,64.5193,0,20,4.1667,5.6322,-129318430,700202240,117798010,332275840
4058522584,508466403,218.1,237.1,225.2833,7.8363,0.0055,15.9705,3.8177,5.8264,4,109.595,8534.78,591982.6,0,761,240,305.9684,43,764,302.5,276.0645,-279904260,581418200,72472680,347396030
4058488865,509739120,187.6,233.4,205.4711,12.5512,0.0056,928.5226,27.9718,99.5687,5,1320.0516,19884.947,761022.6,0,16834,1089.1237,2618.0398,1,1951,277.9794,456.649,-339425280,1084377100,14067440,411306600
