"id","subc_id","awcts_min","awcts_max","awcts_mean","awcts_sd","clyppt_min","clyppt_max","clyppt_mean","clyppt_sd","sndppt_min","sndppt_max","sndppt_mean","sndppt_sd","sltppt_min","sltppt_max","sltppt_mean","sltppt_sd","wwp_min","wwp_max","wwp_mean","wwp_sd","orcdrc_min","orcdrc_max","orcdrc_mean","orcdrc_sd","phihox_min","phihox_max","phihox_mean","phihox_sd","bldfie_min","bldfie_max","bldfie_mean","bldfie_sd","cecsol_min","cecsol_max","cecsol_mean","cecsol_sd","crfvol_min","crfvol_max","crfvol_mean","crfvol_sd","acdwrb_min","acdwrb_max","acdwrb_mean","acdwrb_sd","bdricm_min","bdricm_max","bdricm_mean","bdricm_sd","bdrlog_min","bdrlog_max","bdrlog_mean","bdrlog_sd","histpr_min","histpr_max","histpr_mean","histpr_sd","slgwrb_min","slgwrb_max","slgwrb_mean","slgwrb_sd"
4058623136,506561224,37,39,37.9167,0.6067,6,20,9.1042,2.6944,64,80,76.5625,3.1152,12,18,14.5625,1.9247,9,16,10.9375,1.4492,29,86,41.75,11.4828,56,62,58.8958,1.4753,1481,1519,1506.8125,10.0118,9,15,11.2917,1.6827,7,16,8.7917,2.5655,1,2,1.0208,0.1428,200,200,200,0,0,17,11.5833,4.4292,6,11,8.2917,1.2741,0,0,0,0
4058578509,507917647,36,38,37.1739,0.4155,9,14,12,1.5511,60,74,67.0435,4.1334,16,26,21.1739,2.8282,11,15,13.1159,1.3463,5,10,7.2464,1.3011,57,63,60.3478,1.4328,1522,1551,1536.9565,8.0279,9,13,10.1739,0.8505,5,6,5.5797,0.4936,1,1,1,0,200,200,200,0,0,8,1.8551,2.1887,4,7,4.8116,0.8559,0,0,0,0
4058545409,507173161,38,38,38,0,9,9,9,0,75,75,75,0,16,16,16,0,11,11,11,0,19,19,19,0,58,58,58,0,1517,1517,1517,0,10,10,10,0,7,7,7,0,2,2,2,0,200,200,200,0,4,4,4,0,7,7,7,0,0,0,0,0
4058553432,507829419,43,45,44.4082,0.6676,13,15,14.4898,0.6738,44,49,46.8571,1.6782,37,41,38.5102,1.5135,20,21,20.7347,0.4415,17,37,30.3469,5.8048,49,50,49.9592,0.1979,1283,1335,1306.9796,15.3297,14,17,15.4286,0.9689,18,25,22.3469,1.6727,3,3,3,0,189,199,193.9592,3.6587,28,35,30.2653,2.4725,1,4,2.2041,0.903,0,0,0,0
4058617083,508174552,38,40,38.6364,0.6428,15,16,15.2727,0.4454,37,43,40.8182,2.1242,43,47,44.0909,1.2398,18,20,18.6364,0.6428,7,13,11.2727,2.26,63,67,64.9091,1.7814,1492,1513,1506.909,6.4731,10,12,10.6364,0.6428,9,10,9.6364,0.481,1,1,1,0,200,200,200,0,5,7,5.9091,0.668,1,3,2.1818,0.575,0,0,0,0
4058520436,506510279,40,42,41,0.8315,15,24,22,1.6254,52,64,54.6173,2.2198,20,27,23.5062,1.686,17,22,20.716,1.009,46,74,62.1728,9.4317,64,68,66.3827,1.1393,1425,1500,1453.2222,21.0678,20,27,24.8025,1.6057,7,8,7.7654,0.4237,0,1,0.963,0.1889,200,200,200,0,0,6,2.716,1.5173,3,8,5.0617,1.6876,0,0,0,0
4058579778,508556173,40,40,40,0,17,20,18.7692,1.12,40,43,41.0769,0.997,39,42,40.3846,1.2114,21,21,21,0,9,12,10.4615,1.2163,67,70,68.4615,1.0824,1472,1481,1477.0769,2.9211,19,22,20.4615,1.2779,11,13,11.7692,0.6966,0,1,0.0769,0.2665,200,200,200,0,0,4,2.0769,1.6853,0,1,0.6923,0.4615,0,0,0,0
4058461558,507225030,39,41,40.141,0.3831,11,17,14.4615,2.2112,55,68,60.9103,3.7044,20,28,24.5256,2.011,13,18,15.9359,1.4263,16,31,24.9359,4.2133,61,68,65.1026,1.8508,1424,1473,1456.9231,12.1008,11,17,14.6538,1.7747,7,10,8.4231,0.6891,0,1,0.8205,0.3838,200,200,200,0,5,12,7.0769,1.6312,0,3,1.8462,1.0137,0,0,0,0
4058505941,508617193,38,39,38.9524,0.213,19,22,20.619,1.1329,32,43,36.619,3.592,38,46,42.8571,2.5314,20,21,20.7143,0.4518,8,12,9.619,1.2141,60,62,61.5238,0.794,1498,1528,1515.4286,8.8993,13,15,13.9048,0.9712,17,18,17.9524,0.213,1,1,1,0,200,200,200,0,9,13,12.1905,1.0519,1,3,1.5714,0.7911,0,0,0,0
4058564688,507417958,38,38,38,0,12,14,13,1,52,55,53.8,0.9798,32,34,33,0.6325,16,17,16.2,0.4,9,11,10,0.6325,64,67,64.9,1.1358,1516,1523,1519.5,2.6173,10,11,10.7,0.4583,8,8,8,0,1,1,1,0,200,200,200,0,3,7,4.7,1.7349,5,6,5.5,0.5,0,0,0,0
